7J0|Japan (Shin'etsu), Guest Operators
U[VWZ]0[O-P]|Russia (Asiatic), Respublika Buryatiya (BU)
U[VWZ]0[Q-R]|Russia (Asiatic), Respublika Sakha (Saha) (YA)
U[VWZ]0[S-T]|Russia (Asiatic), Irkutskaya oblast' (IR)
U[VWZ]0[U-V]|Russia (Asiatic), Chitinskaya oblast' (CT)
U[VWZ]0W|Russia (Asiatic), Respublika Khakasiya (HA)
U[VWZ]0X|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ)
U[VWZ]0Y|Russia (Asiatic), Respublika Tyva (Tuva) (TU)
U[VWZ]0Z|Russia (Asiatic), Kamchatskaya oblast' (KT)
U[VWZ]1[ABDF-JLM]|Russia (European), Gorod Leningrad (SP)
U[VWZ]1[ABDF-JLM]|Russia (European), Gorod Sankt Peterburg (SP)
U[VWZ]1[C-G]|Russia (European), Leningradskaya oblast' (LO)
U[VWZ]1N|Russia (European), Respublika Kareliya (KL)
U[VWZ]1O|Russia (European), Arkhangel'skaya oblast' (AR)
U[VWZ]1P|Russia (European), Nenetskiy avtonomnyy okrug (NO)
U[VWZ]1[Q-S]|Russia (European), Vologodskaya oblast' (VO)
U[VWZ]1[T-U]|Russia (European), Novgorodskaya oblast' (NV)
U[VWZ]1[W-X]|Russia (European), Pskovskaya oblast' (PS)
U[VWZ]1[Y-Z]|Russia (European), Murmanskaya oblast' (MU)
U[VWZ]2|Kaliningrad (Koenigsberg)(KA) 
U[VWZ]3[A-CFH]|Russia (European), Gorod Moskva (MA)
U[VWZ]3D|Russia (European), Moskovskaya oblast' (MO)
U[VWZ]3E|Russia (European), Orlovskaya oblast' (OR)
U[VWZ]3G|Russia (European), Lipetskaya oblast' (LP)
U[VWZ]3[I-J]|Russia (European), Tverskaya oblast' (TV)
U[VWZ]3L|Russia (European), Smolenskaya oblast' (SM)
U[VWZ]3M|Russia (European), Yaroslavskaya oblast' (YR)
U[VWZ]3[N-O]|Russia (European), Kostromskaya oblast' (KS)
U[VWZ]3P|Russia (European), Tul'skaya oblast' (TL)
U[VWZ]3Q|Russia (European), Voronezhskaya oblast' (VR)
U[VWZ]3R|Russia (European), Tambovskaya oblast' (TB)
U[VWZ]3S|Russia (European), Ryazanskaya oblast' (RA)
U[VWZ]3T|Russia (European), Nizhegorodskaya oblast' (NN)
U[VWZ]3U|Russia (European), Ivanovskaya oblast' (IV)
U[VWZ]3V|Russia (European), Vladimirskaya oblast' (VL)
U[VWZ]3W|Russia (European), Kurskaya oblast' (KU)
U[VWZ]3X|Russia (European), Kaluzhskaya oblast' (KG)
U[VWZ]3Y|Russia (European), Bryanskaya oblast' (BR)
U[VWZ]3Z|Russia (European), Belgorodskaya oblast' (BO)
U[VWZ]4[A-B]|Russia (European), Volgogradskaya oblast' (VG)
U[VWZ]4[C-D]|Russia (European), Saratovskaya oblast' (SA)
U[VWZ]4F|Russia (European), Penzenskaya oblast' (PE)
U[VWZ]4[H-J]|Russia (European), Samarskaya oblast' (SR)
U[VWZ]4[L-M]|Russia (European), Ul'yanovskaya oblast' (UL)
U[VWZ]4[N-O]|Russia (European), Kirovskaya oblast' (Vyatka)(KI)
U[VWZ]4[P-R]|Russia (European), Respublika Tatarstan (TA)
U[VWZ]4[S-T]|Russia (European), Respublika Mariy El (MR)
U[VWZ]4U|Russia (European), Respublika Mordoviya (MD)
U[VWZ]4W|Russia (European), Respublika Udmurtiya (UD)
U[VWZ]4[Y-Z]|Russia (European), Respublika Chuvashiya (CU)
U[VWZ]6[A-D]|Russia (European), Krasnodarskiy kray (KR)
U[VWZ]6E|Russia (European), Respublika Karachayevo Cherkeskiya (KC)
U[VWZ]6[F-H]|Russia (European), Stavropol'skiy kray (ST)
U[VWZ]6I|Russia (European), Respublika Kalmykiya (KM)
U[VWZ]6J|Russia (European), Respublika Severnaya Osetiya Alaniya (SO)
U[VWZ]6[L-O]|Russia (European), Rostovskaya oblast' (RO)
U[VWZ]6P|Russia (European), Respublika Chechnya (CN)
U[VWZ]6Q|Russia (European), Respublika Ingushetiya (IN)
U[VWZ]6[U-V]|Russia (European), Astrakhanskaya oblast' (AO)
U[VWZ]6W|Russia (European), Respublika Dagestan (DA)
U[VWZ]6X|Russia (European), Respublika Kabardino Balkariya (KB)
U[VWZ]6Y|Russia (European), Respublika Adygeya (AD)
U[VWZ]8T|Russia (Asiatic), Ust' Ordynskiy Buryatskiy avtonomnyy okrug (UO)
U[VWZ]8V|Russia (Asiatic), Aginskiy Buryatskiy avtonomnyy okrug (AB)
U[VWZ]9[A-B]|Russia (Asiatic), Chelyabinskaya oblast' (CB)
U[VWZ]9[C-E]|Russia (Asiatic), Sverdlovskaya oblast' (SV)
U[VWZ]9F|Russia (Asiatic), Permskaya oblast' (PM)
U[VWZ]9G|Russia (Asiatic), Komi Permyatskiy avtonomnyy okrug (KP)
U[VWZ]9[H-I]|Russia (Asiatic), Tomskaya oblast' (TO)
U[VWZ]9J|Russia (Asiatic), Khanty Mansiyskiy avtonomnyy okrug (HM)
U[VWZ]9K|Russia (Asiatic), Yamalo Nenetskiy avtonomnyy okrug (YN)
U[VWZ]9L|Russia (Asiatic), Tyumenskaya oblast' (TN)
U[VWZ]9[M-N]|Russia (Asiatic), Omskaya oblast' (OM)
U[VWZ]9[O-P]|Russia (Asiatic), Novosibirskaya oblast' (NS)
U[VWZ]9[Q-R]|Russia (Asiatic), Kurganskaya oblast' (KN)
U[VWZ]9[S-T]|Russia (Asiatic), Orenburgskaya oblast' (OB)
U[VWZ]9[U-V]|Russia (Asiatic), Kemerovskaya oblast' (KE)
U[VWZ]9W|Russia (Asiatic), Respublika Bashkortostan (BA)
U[VWZ]9X|Russia (Asiatic), Respublika Komi (KO)
U[VWZ]9Y|Russia (Asiatic), Altayskiy kray (AL)
U[VWZ]9Z|Russia (Asiatic), Respublika Altay (GA)
UX1A|Russia (European), Gorod Leningrad (SP), Club Station
UZ2F%%|Kaliningrad (Koenigsberg), Club Station(KA) 
U0A%|Russia (Asiatic), Krasnoyarskiy kray (KK), World War II. Veteran
U0B%|Russia (Asiatic), Taymyrskiy avtonomnyy okrug (TM), World War II. Veteran
U0C%|Russia (Asiatic), Khabarovskiy kray (HK), World War II. Veteran
U0D%|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA), World War II. Veteran
U0[EF]%|Russia (Asiatic), Sakhalinskaya oblast' (SL), World War II. Veteran
U0H%|Russia (Asiatic), Evenkiyskiy avtonomnyy okrug (EW), World War II. Veteran
U0I%|Russia (Asiatic), Magadanskaya oblast' (MG), World War II. Veteran
U0[GJ]%|Russia (Asiatic), Amurskaya oblast' (AM), World War II. Veteran
U0K%|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK), World War II. Veteran
U0[L-N]%|Russia (Asiatic), Primorskiy kray (PK), World War II. Veteran
U0[O-P]%|Russia (Asiatic), Respublika Buryatiya (BU), World War II. Veteran
U0[Q-R]%|Russia (Asiatic), Respublika Sakha (Saha) (YA), World War II. Veteran
U0[S-T]%|Russia (Asiatic), Irkutskaya oblast' (IR), World War II. Veteran
U0[U-V]%|Russia (Asiatic), Chitinskaya oblast' (CT), Zabaykalskiy kray (ZK) World War II. Veteran
U0W%|Russia (Asiatic), Respublika Khakasiya (HA), World War II. Veteran
U0X%|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ), World War II. Veteran
U0Y%|Russia (Asiatic), Respublika Tyva (Tuva) (TU), World War II. Veteran
U0Z%|Russia (Asiatic), Kamchatskaya oblast' (KT), World War II. Veteran
U1[ABDF-JLM]%|Russia (European), Gorod Leningrad (SP), World War II. Veteran
U1[ABDF-JLM]%|Russia (European), Gorod Sankt Peterburg (SP), World War II. Veteran
U1[C-G]%|Russia (European), Leningradskaya oblast' (LO), World War II. Veteran
U1N%|Russia (European), Respublika Kareliya (KL), World War II. Veteran
U1O%|Russia (European), Arkhangelskaya oblast' (AR), World War II. Veteran
U1P%|Russia (European), Nenetsia Terr. (NO), World War II. Veteran
U1[Q-S]%|Russia (European), Vologodskaya oblast' (VO), World War II. Veteran
U1[T-U]%|Russia (European), Novgorodskaya oblast' (NV), World War II. Veteran
U1[W-X]%|Russia (European), Pskovskaya oblast' (PS), World War II. Veteran
U1[Y-Z]%|Russia (European), Murmanskaya oblast' (MU), World War II. Veteran
U3[A-BCFH]%|Russia (European), Gorod Moskva (MA), World War II. Veteran
U3D%|Russia (European), Moskovskaya oblast' (MO), World War II. Veteran
U3E%|Russia (European), Orlovskaya oblast' (OR), World War II. Veteran
U3G%|Russia (European), Lipetskaya oblast' (LP), World War II. Veteran
U3[I-J]%|Russia (European), Tverskaya oblast' (TV), World War II. Veteran
U3L%|Russia (European), Smolenskaya oblast' (SM), World War II. Veteran
U3M%|Russia (European), Yaroslavskaya oblast' (YR), World War II. Veteran
U3[N-O]%|Russia (European), Kostromskaya oblast' (KS), World War II. Veteran
U3P%|Russia (European), Tul'skaya oblast' (TL), World War II. Veteran
U3Q%|Russia (European), Voronezhskaya oblast' (VR), World War II. Veteran
U3R%|Russia (European), Tambovskaya oblast' (TB), World War II. Veteran
U3S%|Russia (European), Ryazanskaya oblast' (RA), World War II. Veteran
U3T%|Russia (European), Nizhegorodskaya oblast' (NN), World War II. Veteran
U3U%|Russia (European), Ivanovskaya oblast' (IV), World War II. Veteran
U3V%|Russia (European), Vladimirskaya oblast' (VL), World War II. Veteran
U3W%|Russia (European), Kurskaya oblast' (KU), World War II. Veteran
U3X%|Russia (European), Kaluzhskaya oblast' (KG), World War II. Veteran
U3Y%|Russia (European), Bryanskaya oblast' (BR), World War II. Veteran
U3Z%|Russia (European), Belgorodskaya oblast' (BO), World War II. Veteran
U4[A-B]%|Russia (European), Volgogradskaya oblast' (VG), World War II. Veteran
U4[C-D]%|Russia (European), Saratovskaya oblast' (SA), World War II. Veteran
U4F%|Russia (European), Penzenskaya oblast' (PE), World War II. Veteran
U4[H-J]%|Russia (European), Samarskaya oblast' (SR), World War II. Veteran
U4[L-M]%|Russia (European), Ul'yanovskaya oblast' (UL), World War II. Veteran
U4[N-O]%|Russia (European), Kirovskaya oblast' (KI) (Vyatka), World War II. Veteran
U4[P-R]%|Russia (European), Respublika Tatarstan (TA), World War II. Veteran
U4[S-T]%|Russia (European), Respublika Mariy El (MR), World War II. Veteran
U4U%|Russia (European), Respublika Mordoviya (MD), World War II. Veteran
U4W%|Russia (European), Respublika Udmurtiya (UD), World War II. Veteran
U4[Y-Z]%|Russia (European), Respublika Chuvashiya (CU), World War II. Veteran
U6[A-D]%|Russia (European), Krasnodarskiy kray (KR), World War II. Veteran
U6E%|Russia (European), Respublika Karachayevo-Cherkeskiya (KC), World War II. Veteran
U6[F-H]%|Russia (European), Stavropol'skiy kray (ST), World War II. Veteran
U6I%|Russia (European), Respublika Kalmykiya (KM), World War II. Veteran
U6J%|Russia (European), Respublika Severnaya Osetiya-Alaniya (SO), World War II. Veteran
U6[L-O]%|Russia (European), Rostovskaya oblast' (RO), World War II. Veteran
U6P%|Russia (European), Respublika Chechnya (CN), World War II. Veteran
U6Q%|Russia (European), Respublika Ingushetiya (IN), World War II. Veteran
U6[U-V]%|Russia (European), Astrakhanskaya oblast' (AO), World War II. Veteran
U6W%|Russia (European), Respublika Dagestan (DA), World War II. Veteran
U6X%|Russia (European), Respublika Kabardino Balkariya (KB), World War II. Veteran
U6Y%|Russia (European), Respublika Adygeya (AD), World War II. Veteran
U8# U9# U0#|Russia (Asiatic), Special Station
U9[A-B]%|Russia (Asiatic), Chelyabinskaya oblast' (CB), World War II. Veteran
U9[C-E]%|Russia (Asiatic), Sverdlovskaya oblast' (SV), World War II. Veteran
U9F%|Russia (Asiatic), Permskaya oblast' (PM), World War II. Veteran
U9G%|Russia (Asiatic), Komi Permyatskiy avtonomnyy okrug (KP), World War II. Veteran
U9F%|Russia (European), Permskaya oblast' (PM), World War II. Veteran
U9G%|Russia (European), Komi Permyatskiy avtonomnyy okrug (KP), World War II. Veteran
U9[H-I]%|Russia (Asiatic), Tomskaya oblast' (TO), World War II. Veteran
U9J%|Russia (Asiatic), Khanty Mansiyskiy avtonomnyy okrug (HM), World War II. Veteran
U9K%|Russia (Asiatic), Yamalo Nenetskiy avtonomnyy okrug (YN), World War II. Veteran
U9L%|Russia (Asiatic), Tyumenskaya oblast' (TN), World War II. Veteran
U9[M-N]%|Russia (Asiatic), Omskaya oblast' (OM), World War II. Veteran
U9[O-P]%|Russia (Asiatic), Novosibirskaya oblast' (NS), World War II. Veteran
U9[Q-R]%|Russia (Asiatic), Kurganskaya oblast' (KN), World War II. Veteran
U9[S-T]%|Russia (Asiatic), Orenburgskaya oblast' (OB), World War II. Veteran
U9[U-V]%|Russia (Asiatic), Kemerovskaya oblast' (KE), World War II. Veteran
U9W%|Russia (Asiatic), Respublika Bashkortostan (BA), World War II. Veteran
U9X%|Russia (Asiatic), Respublika Komi (KO), World War II. Veteran
U9X%|Russia (European), Respublika Komi (KO), World War II. Veteran
U9Y%|Russia (Asiatic), Altayskiy kray (AL), World War II. Veteran
U9Z%|Russia (Asiatic), Respublika Altay (GA), World War II. Veteran
4J[1346] 4L[1346] EK[1346] EM[1346]|Russia (European)
4K0|Drifting Ice Station, Russian Arctica (no DXCC credit!)
4K0 4L9 4L0 RA7# UA7#|Russia (Asiatic)
4K3|Russia (European), EU Islands
4K4[ABPQ] 4J9 4J0 4K9|Russia (Asiatic)
4K4|Russia (Asiatic), Commandore Islands
4K5|Russia (Asiatic), South Kuril Islands (AS)
4K6|Russia (Asiatic), North Kuril Islands (AS)
R[A-Z]#%/S R[A-Z]#%%/S R[A-Z]#%%%/S R[A-Z]##%/S R[A-Z]##%%/S R[A-Z]##%%%/S|Russian Space Station (no DXCC credit!)
RI0|Russia (Asiatic), Far East Islands
RI0B|Russia (Asiatic), Severnaya Zemlya
RI0C|Russia (Asiatic), Iony Isl.
RI0F|Russia (Asiatic), Kurilskiye Isl.
RI0K|Russia (Asiatic), Wrangel Isl., Gerald Isl.
RI0[L-N]|Russia (Asiatic), Primorskiy kray (PK), Sea of Japan Islands
RI0Q[A-L] RI0QA%|Russia (Asiatic), Medvezhyi Isl.
RI0Q[M-Z] RI0QC%|Russia (Asiatic), Novosibirskye Isl.
RI0X|Russia (Asiatic), Karaginsky Isl.
RI0Z|Russia (Asiatic), Komandorskiye Isl.
RI1N|Russia (European), Murmanskaya oblast' (MU), White Sea Islands
RI1O|Russia (European), Novaya Zemlya
RI1P|Russia (European), Kolguyev Isl.
R#[A-Z]/S R#[A-Z][A-Z]/S R#[A-Z][A-Z][A-Z]/S R##[A-Z]/S R##[A-Z][A-Z]/S R##[A-Z][A-Z][A-Z]/S|Russian Space Station (no DXCC credit!)
R0[A-BH] R[ACDFGJ-OQT-Z]0[A-BH] U[A-I]0[A-BH]|Russia (Asiatic), Krasnoyarskiy kray (KK), 1st Class
R0[A-BH][A-V][A-Z] R[ACDFGJ-OQT-Z]0A[A-V][A-Z] UA0[A-BH][A-V][A-Z]|Russia (Asiatic), Krasnoyarskiy kray (KK), 2nd Class
R0[A-BH][W-Z][A-Z] R[ACDFGJ-OQT-Z]0A[W-Z][A-Z]|Russia (Asiatic), Krasnoyarskiy kray (KK), Club Station
R0C R[ACDFGJ-OQT-Z]0C U[A-I]0C|Russia (Asiatic), Khabarovskiy kray (HK), 1st Class
R0C[A-V][A-Z] R[ACDFGJ-OQT-Z]0C[A-V][A-Z] UA0C[A-V][A-Z]|Russia (Asiatic), Khabarovskiy kray (HK), 2nd Class
R0C[W-Z][A-Z] R[ACDFGJ-OQT-Z]0C[W-Z][A-Z]|Russia (Asiatic), Khabarovskiy kray (HK), Club Station
R0D R[ACDFGJ-OQT-Z]0D U[A-I]0D|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA), 1st Class
R0D[A-V][A-Z] R[ACDFGJ-OQT-Z]0D[A-V][A-Z] UA0D[A-V][A-Z]|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA), 2nd Class
R0D[W-Z][A-Z] R[ACDFGJ-OQT-Z]0D[W-Z][A-Z]|Russia (Asiatic), Yevreyskaya avtonomnaya oblast' (EA), Club Station
R0[E-G] R[ACDFGJ-OQT-Z]0[E-G] U[A-I]0[E-G]|Russia (Asiatic), Sakhalinskaya oblast' (SL), 1st Class
R0[E-G][A-V][A-Z] R[ACDFGJ-OQT-Z]0[E-G][A-V][A-Z] UA0[E-G][A-V][A-Z]|Russia (Asiatic), Sakhalinskaya oblast' (SL), 2nd Class
R0[E-G][W-Z][A-Z] R[ACDFGJ-OQT-Z]0[E-G][W-Z][A-Z]|Russia (Asiatic), Sakhalinskaya oblast' (SL), Club Station
R0I R[ACDFGJ-OQT-Z]0I U[A-I]0I|Russia (Asiatic), Magadanskaya oblast' (MG), 1st Class
R0I[A-V][A-Z] R[ACDFGJ-OQT-Z]0I[A-V][A-Z] UA0I[A-V][A-Z]|Russia (Asiatic), Magadanskaya oblast' (MG), 2nd Class
R0I[W-Z][A-Z] R[ACDFGJ-OQT-Z]0I[W-Z][A-Z]|Russia (Asiatic), Magadanskaya oblast' (MG), Club Station
R0[GJ] R[ACDFGJ-OQT-Z]0J U[A-I]0[GJ]|Russia (Asiatic), Amurskaya oblast' (AM), 1st Class
R0[GJ][A-V][A-Z] R[ACDFGJ-OQT-Z]0[GJ][A-V][A-Z] UA0J[A-V][A-Z]|Russia (Asiatic), Amurskaya oblast' (AM), 2nd Class
R0[GJ][W-Z][A-Z] R[ACDFGJ-OQT-Z]0[GJ][W-Z][A-Z]|Russia (Asiatic), Amurskaya oblast' (AM), Club Station
R0K R[ACDFGJ-OQT-Z]0K U[A-I]0K|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK), 1st Class
R0K[A-V][A-Z] R[ACDFGJ-OQT-Z]0K[A-V][A-Z] UA0K[A-V][A-Z]|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK), 2nd Class
R0K[W-Z][A-Z] R[ACDFGJ-OQT-Z]0K[W-Z][A-Z]|Russia (Asiatic), Chukotskiy avtonomnyy okrug (CK), Club Station
R0[L-N] R[ACDFGJ-OQT-Z]0[L-N] U[A-I]0[L-N]|Russia (Asiatic), Primorskiy kray (PK), 1st Class
R0[L-N][A-V][A-Z] R[ACDFGJ-OQT-Z]0[L-N][A-V][A-Z] UA0[L-N][A-V][A-Z]|Russia (Asiatic), Primorskiy kray (PK), 2nd Class
R0[L-N][W-Z][A-Z] R[ACDFGJ-OQT-Z]0[L-N][W-Z][A-Z]|Russia (Asiatic), Primorskiy kray (PK), Club Station
R0[O-P] R[ACDFGJ-OQT-Z]0[O-P] U[A-I]0[O-P]|Russia (Asiatic), Respublika Buryatiya (BU), 1st Class
R0[O-P][A-V][A-Z] R[ACDFGJ-OQT-Z]0[O-P][A-V][A-Z] UA0[O-P][A-V][A-Z]|Russia (Asiatic), Respublika Buryatiya (BU), 2nd Class
R0[O-P][W-Z][A-Z] R[ACDFGJ-OQT-Z]0[O-P][W-Z][A-Z]|Russia (Asiatic), Respublika Buryatiya (BU), Club Station
R0Q R[ACDFGJ-OQT-Z]0Q U[A-I]0Q|Russia (Asiatic), Respublika Sakha (Saha) (YA), 1st Class
R0Q[A-V][A-Z] R[ACDFGJ-OQT-Z]0Q[A-V][A-Z] UA0Q[A-V][A-Z]|Russia (Asiatic), Respublika Sakha (Saha) (YA), 2nd Class
R0Q[W-Z][A-Z] R[ACDFGJ-OQT-Z]0Q[W-Z][A-Z]|Russia (Asiatic), Respublika Sakha (Saha) (YA), Club Station
R0R R[ACDFGJ-OQT-Z]0R U[A-I]0R|Russia (Asiatic), Irkutsk region (Ust' Ordynskiy Buryatskiy avtonomnyy okrug (UO)), 1st Class
R0R[A-V][A-Z] R[ACDFGJ-OQT-Z]0R[A-V][A-Z] UA0R[A-V][A-Z]|Russia (Asiatic), Irkutsk region (Ust' Ordynskiy Buryatskiy avtonomnyy okrug (UO)), 2nd Class
R0R[W-Z][A-Z] R[ACDFGJ-OQT-Z]0R[W-Z][A-Z]|Russia (Asiatic), Irkutsk region (Ust' Ordynskiy Buryatskiy avtonomnyy okrug (UO)), Club Station
R0[S-T] R[ACDFGJ-OQT-Z]0[S-T] U[A-I]0[S-T]|Russia (Asiatic), Irkutskaya oblast' (IR), 1st Class
R0[S-T][A-V][A-Z] R[ACDFGJ-OQT-Z]0[S-T][A-V][A-Z] UA0[S-T][A-V][A-Z]|Russia (Asiatic), Irkutskaya oblast' (IR), 2nd Class
R0[S-T][W-Z][A-Z] R[ACDFGJ-OQT-Z]0[S-T][W-Z][A-Z]|Russia (Asiatic), Irkutskaya oblast' (IR), Club Station
R0U R[ACDFGJ-OQT-Z]0U U[A-I]0U|Russia (Asiatic), Chitinskaya oblast' (CT), Zabaykalskiy kray (ZK) 1st Class
R0U[A-V][A-Z] R[ACDFGJ-OQT-Z]0U[A-V][A-Z] UA0U[A-V][A-Z]|Russia (Asiatic), Chitinskaya oblast' (CT), Zabaykalskiy kray (ZK) 2nd Class
R0U[W-Z][A-Z] R[ACDFGJ-OQT-Z]0U[W-Z][A-Z]|Russia (Asiatic), Chitinskaya oblast' (CT), Zabaykalskiy kray (ZK) Club Station
R0V R[ACDFGJ-OQT-Z]0V U[A-I]0V|Russia (Asiatic), Zabaykalskiy kray (ZK) (Aginskiy Buryatskiy avtonomnyy okrug (AB)), 1st Class
R0V[A-V][A-Z] R[ACDFGJ-OQT-Z]0V[A-V][A-Z] UA0V[A-V][A-Z]|Russia (Asiatic), Zabaykalskiy kray (ZK) (Aginskiy Buryatskiy avtonomnyy okrug (AB)), 2nd Class
R0V[W-Z][A-Z] R[ACDFGJ-OQT-Z]0V[W-Z][A-Z]|Russia (Asiatic), Zabaykalskiy kray (ZK) (Aginskiy Buryatskiy avtonomnyy okrug (AB)), Club Station
R0W R[ACDFGJ-OQT-Z]0W U[A-I]0W|Russia (Asiatic), Respublika Khakasiya (HA), 1st Class
R0W[A-V][A-Z] R[ACDFGJ-OQT-Z]0W[A-V][A-Z] UA0W[A-V][A-Z]|Russia (Asiatic), Respublika Khakasiya (HA), 2nd Class
R0W[W-Z][A-Z] R[ACDFGJ-OQT-Z]0W[W-Z][A-Z]|Russia (Asiatic), Respublika Khakasiya (HA), Club Station
R0X R[ACDFGJ-OQT-Z]0X U[A-I]0X|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ), 1st Class
R0X[A-V][A-Z] R[ACDFGJ-OQT-Z]0X[A-V][A-Z] UA0X[A-V][A-Z]|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ), 2nd Class
R0X[W-Z][A-Z] R[ACDFGJ-OQT-Z]0X[W-Z][A-Z]|Russia (Asiatic), Koryakskiy avtonomnyy okrug (KJ), Club Station
R0Y R[ACDFGJ-OQT-Z]0Y U[A-I]0Y|Russia (Asiatic), Respublika Tyva (Tuva) (TU), 1st Class
R0Y[A-V][A-Z] R[ACDFGJ-OQT-Z]0Y[A-V][A-Z] UA0Y[A-V][A-Z]|Russia (Asiatic), Respublika Tyva (Tuva) (TU), 2nd Class
R0Y[W-Z][A-Z] R[ACDFGJ-OQT-Z]0Y[W-Z][A-Z]|Russia (Asiatic), Respublika Tyva (Tuva) (TU), Club Station
R0Z R[ACDFGJ-OQT-Z]0Z U[A-I]0Z|Russia (Asiatic), Kamchatskaya oblast' (KT), 1st Class
R0Z[A-V][A-Z] R[ACDFGJ-OQT-Z]0Z[A-V][A-Z] UA0Z[A-V][A-Z]|Russia (Asiatic), Kamchatskaya oblast' (KT), 2nd Class
R0Z[W-Z][A-Z] R[ACDFGJ-OQT-Z]0Z[W-Z][A-Z]|Russia (Asiatic), Kamchatskaya oblast' (KT), Club Station
R[1-7]# U[A-I][1-7]#|Russia (European), Special Event Station
R1[ABDF-JLM] R[ACDFGJ-OQT-Z]1[ABDF-JLM] U[A-I]1[ABDF-JLM]|Russia (European), Gorod Sankt Peterburg (SP), 1st Class
R1[ABDF-JLM][A-V][A-Z] R[ACDFGJ-OQT-Z]1[ABDF-JLM][A-V][A-Z] UA1[ABDF-JLM][A-V][A-Z]|Russia (European), Gorod Sankt Peterburg (SP), 2nd Class
R1[ABDF-JLM][W-Z][A-Z] R[ACDFGJ-OQT-Z]1[ABDF-JLM][W-Z][A-Z]|Russia (European), Gorod Sankt Peterburg (SP), Club Station
R1[C-G] R[ACDFGJ-OQT-Z]1[C-G] U[A-I]1[C-G]|Russia (European), Leningradskaya oblast' (LO), 1st Class
R1[C-G][A-V] R[ACDFGJ-OQT-Z]1[C-G][A-Z][A-V] UA1[C-G][A-Z][A-V]|Russia (European), Leningradskaya oblast' (LO), 2nd Class
R1[C-G][W-Z][A-Z] R[ACDFGJ-OQT-Z]1[C-G][W-Z][A-Z]|Russia (European), Leningradskaya oblast' (LO), Club Station
R1N R[ACDFGJ-OQT-Z]1N U[A-I]1N|Russia (European), Respublika Kareliya (KL), 1st Class
R1N[A-V][A-Z] R[ACDFGJ-OQT-Z]1N[A-V][A-Z] UA1N[A-V][A-Z]|Russia (European), Respublika Kareliya (KL), 2nd Class
R1N[W-Z][A-Z] R[ACDFGJ-OQT-Z]1N[W-Z][A-Z]|Russia (European), Respublika Kareliya (KL), Club Station
R1O R[ACDFGJ-OQT-Z]1O U[A-I]1O|Russia (European), Arkhangel'skaya oblast' (AR), 1st Class
R1O[A-V] R[ACDFGJ-OQT-Z]1O[A-Z][A-V] UA1O[A-Z][A-V]|Russia (European), Arkhangel'skaya oblast' (AR), 2nd Class
R1O[W-Z][A-Z] R[ACDFGJ-OQT-Z]1O[W-Z][A-Z]|Russia (European), Arkhangel'skaya oblast' (AR), Club Station
R1P R[ACDFGJ-OQT-Z]1P U[A-I]1P|Russia (European), Nenetskiy avtonomnyy okrug (NO), 1st Class
R1P[A-V][A-Z] R[ACDFGJ-OQT-Z]1P[A-V][A-Z] UA1P[A-V][A-Z]|Russia (European), Nenetskiy avtonomnyy okrug (NO), 2nd Class
R1P[W-Z][A-Z] R[ACDFGJ-OQT-Z]1P[W-Z][A-Z]|Russia (European), Nenetskiy avtonomnyy okrug (NO), Club Station
R1[Q-S] R[ACDFGJ-OQT-Z]1[Q-S] U[A-I]1[Q-S]|Russia (European), Vologodskaya oblast' (VO), 1st Class
R1[Q-S][A-V][A-Z] R[ACDFGJ-OQT-Z]1[Q-S][A-V][A-Z] UA1[Q-S][A-V][A-Z]|Russia (European), Vologodskaya oblast' (VO), 2nd Class
R1[Q-S][W-Z][A-Z] R[ACDFGJ-OQT-Z]1[Q-S][W-Z][A-Z]|Russia (European), Vologodskaya oblast' (VO), Club Station
R1[T-U] R[ACDFGJ-OQT-Z]1[T-U] U[A-I]1[T-U]|Russia (European), Novgorodskaya oblast' (NV), 1st Class
R1[T-U][A-V][A-Z] R[ACDFGJ-OQT-Z]1[T-U][A-V][A-Z] UA1[T-U][A-V][A-Z]|Russia (European), Novgorodskaya oblast' (NV), 2nd Class
R1[T-U][W-Z][A-Z] R[ACDFGJ-OQT-Z]1[T-U][W-Z][A-Z]|Russia (European), Novgorodskaya oblast' (NV), Club Station
R1[W-X] R[ACDFGJ-OQT-Z]1[W-X] U[A-I]1[W-X]|Russia (European), Pskovskaya oblast' (PS), 1st Class
R1[W-X][A-V][A-Z] R[ACDFGJ-OQT-Z]1[W-X][A-V][A-Z] UA1[W-X][A-V][A-Z]|Russia (European), Pskovskaya oblast' (PS), 2nd Class
R1[W-X][W-Z][A-Z] R[ACDFGJ-OQT-Z]1[W-X][W-Z][A-Z]|Russia (European), Pskovskaya oblast' (PS), Club Station
R1[Y-Z] R[ACDFGJ-OQT-Z]1[Y-Z] U[A-I]1[Y-Z]|Russia (European), Murmanskaya oblast' (MU), 1st Class
